,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
303,304,0.47149855479999997,female,20.0,south atlantic,52.0,84120.0,65.0,,60.0,80.7,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
304,305,0.9429971097,male,14.0,south atlantic,69.0,47317.5,31.0,28.0,44.0,39.7,mod. satisfied,,,,,
305,306,0.9429971097,male,12.0,south atlantic,34.0,38555.0,73.0,,27.0,84.0,very satisfied,strongly agree,disagree,disagree,strongly agree,disagree
306,307,1.885994219,male,17.0,south atlantic,25.0,,74.0,,80.0,84.5,very satisfied,,,,,
307,308,1.4144956640000002,male,8.0,south atlantic,33.0,,36.0,,,37.6,very satisfied,,,,,
308,309,1.17948398,female,12.0,south atlantic,45.0,16648.75,55.0,47.0,25.0,37.2,mod. satisfied,strongly agree,agree,disagree,disagree,agree
309,310,4.717935918999999,male,16.0,south atlantic,57.0,158201.8412,66.0,47.0,40.0,66.4,,,,,,
310,311,0.47149855479999997,male,14.0,south atlantic,77.0,47317.5,43.0,39.0,50.0,57.3,,agree,agree,disagree,agree,neither agree nor disagree
311,312,0.47149855479999997,male,16.0,south atlantic,29.0,70100.0,60.0,61.0,73.0,87.9,mod. satisfied,disagree,agree,disagree,agree,agree
312,313,0.9429971097,male,18.0,south atlantic,58.0,158201.8412,75.0,45.0,,89.3,very satisfied,,,,,
313,314,0.9429971097,male,20.0,south atlantic,42.0,84120.0,50.0,66.0,66.0,57.4,very satisfied,,,,,
314,315,0.47149855479999997,male,13.0,south atlantic,65.0,47317.5,33.0,,44.0,44.9,very satisfied,strongly agree,strongly disagree,agree,disagree,strongly disagree
315,316,0.9429971097,female,16.0,south atlantic,25.0,22782.5,38.0,53.0,54.0,25.7,very dissatisfied,,,,,
316,317,0.9429971097,male,19.0,south atlantic,76.0,70100.0,39.0,,50.0,67.7,,agree,strongly agree,disagree,disagree,disagree
317,318,0.9429971097,female,12.0,south atlantic,73.0,38555.0,33.0,24.0,,13.6,mod. satisfied,agree,agree,agree,disagree,agree
318,319,0.9429971097,female,20.0,south atlantic,34.0,98140.0,61.0,39.0,74.0,71.7,mod. satisfied,agree,agree,agree,disagree,disagree
319,320,0.9429971097,male,12.0,south atlantic,51.0,47317.5,43.0,61.0,,57.3,very satisfied,strongly agree,disagree,disagree,strongly disagree,disagree
320,321,0.9429971097,female,14.0,south atlantic,78.0,16648.75,48.0,,,28.6,mod. satisfied,,,,,
321,322,1.4144956640000002,male,12.0,south atlantic,53.0,38555.0,26.0,50.0,,28.5,mod. satisfied,agree,disagree,disagree,disagree,agree
322,323,0.9429971097,male,11.0,south atlantic,83.0,19277.5,27.0,,46.0,14.0,,strongly agree,disagree,disagree,disagree,disagree
323,324,1.885994219,female,7.0,south atlantic,58.0,9638.75,,16.0,,,,,,,,
324,325,1.4144956640000002,male,12.0,south atlantic,73.0,,28.0,,27.0,25.2,,agree,agree,agree,agree,disagree
325,326,0.47149855479999997,female,10.0,south atlantic,83.0,1402.0,32.0,,,13.2,,strongly agree,agree,agree,disagree,agree
326,327,0.47149855479999997,male,12.0,south atlantic,86.0,16648.75,40.0,25.0,,41.6,,disagree,,disagree,agree,disagree
327,328,0.47149855479999997,female,14.0,south atlantic,70.0,16648.75,60.0,25.0,18.0,65.3,,,,,,
328,329,2.35896796,female,17.0,south atlantic,31.0,57832.5,61.0,47.0,,80.9,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
329,330,2.35896796,female,16.0,south atlantic,24.0,47317.5,47.0,53.0,,38.8,,,,,,
330,331,0.9429971097,male,14.0,south atlantic,42.0,26287.5,48.0,37.0,64.0,24.2,very satisfied,agree,disagree,disagree,disagree,agree
331,332,0.9429971097,female,16.0,south atlantic,34.0,158201.8412,75.0,72.0,47.0,91.1,very satisfied,,,,,
332,333,0.47149855479999997,female,19.0,south atlantic,70.0,,50.0,,38.0,32.6,,strongly disagree,agree,disagree,strongly agree,agree
333,334,0.9429971097,female,12.0,south atlantic,37.0,38555.0,,32.0,,,mod. satisfied,strongly agree,disagree,disagree,agree,disagree
334,335,0.9429971097,male,18.0,south atlantic,70.0,112160.0,66.0,47.0,43.0,92.0,,disagree,strongly agree,agree,agree,agree
